NAME OF THE SACCO, FINANCIAL INVESTMENT  , CASH & CASH EQUIVALENT , GROSS LOAN , TOTAL ASSETS , TOTAL EXPENSE , CORE CAPITAL , TOTAL DEPOSIT , LIQUID ASSET , Net Income , TOTAL REVENUE , NPL ,
STEGRO," 46,849,864.79 "," 4,611,225.91 "," 100,051,101.90 "," 778,720,861.41 "," 31,354,035.97 "," 32,149,639.54 "," 251,813,530.63 "," 4,611,225.91 ","-4,037,266.56 "," 103,773,291.57 "," 80,553,605.65 ",
STIMA DT," 902,024,671.49 "," 1,329,702,996.13 "," 21,134,354,061.71 "," 24,334,766,028.31 "," 965,400,418.06 "," 1,921,947,387.60 "," 19,008,010,385.14 "," 1,511,027,636.95 "," 219,634,232.39 "," 3,395,648,251.65 "," 1,084,078,530.59 ",
SUKARI," 100,255,862.91 "," 54,477,823.67 "," 650,452,593.40 "," 958,343,474.44 "," 61,062,809.38 "," 62,921,853.88 "," 567,682,568.20 "," 73,504,110.50 "," 59,870,958.61 "," 131,421,022.32 "," 66,582,753.25 ",
SULUHU," 4,686,604.00 "," 75,903,733.22 "," 304,413,339.70 "," 441,189,346.59 "," 33,615,304.80 "," 86,510,237.74 "," 294,426,158.18 "," 75,903,733.22 "," 39,117,115.05 "," 81,661,302.79 "," 9,193,647.56 ",
SUPA ," 628,708.00 "," 22,575,971.00 "," 255,425,483.00 "," 283,107,742.00 "," 20,610,935.80 "," 42,046,016.00 "," 227,641,308.00 "," 22,575,971.00 "," 9,106,924.20 "," 34,011,276.00 "," 6,055,681.82 ",
TABASAMU," 35,457,494.61 "," 41,043,501.63 "," 130,997,847.79 "," 519,212,063.55 "," 27,715,124.50 "," 63,840,702.47 "," 345,492,512.58 "," 41,043,501.63 "," 20,750,079.01 "," 52,185,874.12 "," 10,609,505.41 ",
TABASURI," 24,690,697.43 "," 21,834,034.18 "," 263,594,460.34 "," 312,525,145.09 "," 30,615,161.10 "," 33,670,031.39 "," 221,814,445.84 "," 35,296,666.75 "," 15,834,259.72 "," 55,959,552.13 "," 32,115,779.36 ",
TAI," 35,226,573.00 "," 531,815,453.04 "," 1,204,875,925.13 "," 1,869,995,182.68 "," 172,197,656.88 "," 382,979,746.53 "," 1,172,059,702.65 "," 542,061,202.04 "," 9,804,173.75 "," 267,026,953.53 "," 94,668,289.75 ",
TAIFA ," 158,794,228.85 "," 518,441,251.08 "," 1,552,408,817.10 "," 2,458,786,879.70 "," 240,057,647.68 "," 509,822,453.67 "," 1,931,730,883.69 "," 677,235,479.93 "," 48,015,534.50 "," 395,618,312.65 "," 78,887,967.40 ",
TARAJI SAVINGS," 18,559,791.00 "," 38,197,771.00 "," 167,765,304.24 "," 403,894,416.54 "," 28,382,257.21 "," 44,244,922.70 "," 247,620,337.99 "," 38,197,771.00 "," 5,446,850.76 "," 48,429,736.40 "," 3,538,757.75 ",
TELEPOST," 87,623,335.00 "," 50,855,065.24 "," 465,693,680.54 "," 937,685,993.80 "," 66,974,009.97 ","-50,187,912.66 "," 540,335,195.49 "," 50,855,065.24 ","-73,252,304.09 "," 85,212,302.20 "," 82,111,835.50 ",
TEMBO," 88,966.88 "," 352,441.15 "," 1,306,496.97 "," 1,908,670.47 "," 36,849.27 "," 285,384.74 "," 1,404,169.14 "," 371,101.25 "," 44,619.04 "," 231,022.72 "," 53,527.93 ",
TENHOS ," 10,520,233.59 "," 33,559,618.73 "," 137,444,973.97 "," 251,093,179.17 "," 24,019,101.82 "," 78,674,585.25 "," 157,947,604.79 "," 42,808,710.32 "," 9,070,546.67 "," 48,202,539.58 "," 12,434,781.64 ",
THAMANI," 3,038,278.50 "," 138,859,232.13 "," 292,788,004.93 "," 463,205,291.30 "," 47,554,430.76 "," 91,452,066.21 "," 301,050,498.09 "," 141,897,510.63 "," 12,183,286.28 "," 85,230,537.22 "," 29,895,040.78 ",
THE APPLE," 5,770,264.80 "," 5,025,527.35 "," 33,179,212.83 "," 52,757,534.36 "," 6,288,278.30 "," 16,053,616.27 "," 25,857,332.36 "," 5,025,527.35 "," 3,535,468.64 "," 10,539,240.94 "," 6,193,875.18 ",
THE NOBLE," 126,225,741.00 "," 97,940,932.39 "," 1,143,118,332.30 "," 1,540,051,532.39 "," 88,644,751.17 "," 244,961,062.85 "," 1,157,056,688.57 "," 149,108,925.39 "," 143,311,721.87 "," 260,283,277.99 "," 63,713,191.35 ",
